farm_id,day,flock_type,ambient_temp,feed_intake_g,water_intake_ml,mortality_rate,egg_production_rate,disease_label
1,1,layer,26.29,107.1,241.9,5.88,77.8,3
1,2,layer,23.83,112.1,191.7,0.0,77.4,0
1,3,layer,24.14,108.9,198.1,0.25,89.7,0
1,4,layer,25.24,112.3,191.1,0.24,69.0,0
1,5,layer,23.93,119.9,257.3,0.06,83.2,0
1,6,layer,25.43,133.2,286.9,0.24,73.8,0
1,7,layer,22.3,106.8,205.6,0.22,78.2,0
1,8,layer,26.16,133.3,271.6,0.24,66.6,0
1,9,layer,24.64,113.8,204.4,0.57,83.1,0
1,10,layer,26.94,92.4,255.5,0.61,67.2,4
1,11,layer,22.16,135.6,258.4,0.37,72.8,0
1,12,layer,24.57,113.6,192.7,0.37,84.2,0
1,13,layer,27.74,122.6,262.1,0.23,68.0,0
1,14,layer,19.69,125.2,217.0,0.14,71.6,0
1,15,layer,23.11,141.1,307.9,0.29,55.8,0
1,16,layer,23.68,120.1,212.2,0.36,73.1,0
1,17,layer,26.53,102.8,211.4,0.12,82.9,0
1,18,layer,23.24,121.2,254.6,0.19,65.1,0
1,19,layer,25.01,114.5,198.8,0.39,64.4,0
1,20,layer,24.22,106.7,178.0,0.05,83.1,0
1,21,layer,24.35,116.9,250.0,0.46,77.6,0
1,22,layer,26.23,83.0,228.2,6.61,31.2,2
1,23,layer,22.61,129.8,263.2,0.07,67.5,0
1,24,layer,26.64,148.5,245.9,0.15,61.3,0
1,25,layer,25.55,132.4,275.0,0.32,102.3,0
1,26,layer,22.85,127.2,275.4,0.45,73.8,0
1,27,layer,23.3,97.3,205.3,0.2,65.7,0
1,28,layer,23.23,122.3,240.8,0.31,85.6,0
1,29,layer,22.24,105.9,220.9,0.35,78.0,0
1,30,layer,26.14,137.0,277.0,0.34,77.3,0
1,31,layer,24.03,84.9,227.8,0.37,51.4,4
1,32,layer,24.05,136.3,228.5,0.33,90.6,0
1,33,layer,25.09,110.2,212.1,0.47,88.6,0
1,34,layer,23.67,132.8,247.4,0.63,67.3,0
1,35,layer,28.53,126.1,251.7,0.63,78.8,0
1,36,layer,27.53,109.4,176.0,0.67,72.6,0
1,37,layer,24.49,101.3,186.3,0.56,90.4,0
1,38,layer,27.32,120.2,239.7,0.31,73.0,0
1,39,layer,28.17,101.4,190.2,0.31,81.9,0
1,40,layer,25.56,110.7,181.8,0.21,83.8,0
1,41,layer,25.71,109.6,216.7,0.42,78.6,0
1,42,layer,26.49,129.2,283.4,0.06,57.1,0
1,43,layer,24.56,136.5,279.9,0.35,70.9,0
1,44,layer,26.36,115.3,211.5,0.18,72.3,0
1,45,layer,23.36,151.4,268.9,0.06,87.0,0
1,46,layer,24.97,106.5,174.1,0.65,54.1,0
1,47,layer,25.82,111.5,219.8,0.34,70.7,0
1,48,layer,22.1,98.9,206.4,0.57,68.4,0
1,49,layer,26.71,117.6,196.0,0.3,72.0,0
1,50,layer,25.64,107.6,220.3,0.32,79.9,0
1,51,layer,25.44,120.2,197.6,0.31,79.7,0
1,52,layer,29.3,108.5,211.6,0.5,73.9,0
1,53,layer,20.75,112.1,218.6,0.37,55.9,0
1,54,layer,22.36,147.5,318.5,0.24,74.3,0
1,55,layer,21.57,140.3,306.1,0.36,77.8,0
1,56,layer,25.01,120.7,248.8,0.0,71.9,0
1,57,layer,26.42,103.1,203.3,0.24,66.7,0
1,58,layer,27.35,84.7,233.7,0.33,76.7,4
1,59,layer,26.29,84.3,284.2,8.51,28.3,2
1,60,layer,26.77,117.9,213.4,0.31,90.0,0
1,61,layer,24.97,131.9,231.6,0.29,78.8,0
1,62,layer,24.75,118.9,199.4,0.11,78.7,0
1,63,layer,29.11,115.2,196.2,0.14,69.7,0
1,64,layer,22.13,117.1,213.0,0.31,94.6,0
1,65,layer,26.7,110.7,226.8,0.18,69.7,0
1,66,layer,23.74,87.1,178.5,0.36,80.8,0
1,67,layer,28.04,83.1,145.1,0.02,67.4,0
1,68,layer,23.45,114.7,244.9,0.48,91.9,0
1,69,layer,29.74,135.2,276.8,0.26,64.6,0
1,70,layer,21.17,134.1,294.0,0.41,61.0,0
1,71,layer,24.23,113.8,201.5,0.13,75.5,0
1,72,layer,25.78,118.7,251.6,0.45,69.2,0
1,73,layer,29.08,144.3,255.1,0.41,68.4,0
1,74,layer,24.08,115.4,226.9,0.0,81.4,0
1,75,layer,24.7,113.9,191.4,0.18,85.1,0
1,76,layer,23.55,156.5,289.1,0.26,80.8,0
1,77,layer,25.34,121.3,207.3,0.27,75.9,0
1,78,layer,23.81,128.8,218.8,0.22,78.9,0
1,79,layer,24.46,134.2,280.5,0.1,54.6,0
1,80,layer,21.84,120.2,257.3,0.0,83.3,0
1,81,layer,25.33,128.5,231.5,0.22,78.4,0
1,82,layer,24.02,126.1,225.3,0.13,83.3,0
1,83,layer,24.3,132.4,277.2,0.1,72.3,0
1,84,layer,26.92,134.6,267.1,0.68,79.1,0
1,85,layer,25.34,132.5,243.9,0.29,81.5,0
1,86,layer,24.59,120.7,256.3,0.45,76.1,0
1,87,layer,25.5,102.9,202.1,0.2,90.9,0
1,88,layer,30.07,102.3,305.7,0.21,62.4,1
1,89,layer,26.7,85.2,183.3,0.04,62.1,0
1,90,layer,22.75,117.8,200.9,0.29,48.0,0
2,1,broiler,25.02,117.8,256.3,0.25,0.0,0
2,2,broiler,24.85,99.8,204.7,0.33,0.0,0
2,3,broiler,32.2,74.7,199.0,0.25,0.0,1
2,4,broiler,30.07,73.9,205.2,0.34,0.0,1
2,5,broiler,28.72,90.1,166.3,0.49,0.0,0
2,6,broiler,29.6,111.5,190.3,0.27,0.0,0
2,7,broiler,28.69,95.9,202.7,0.23,0.0,0
2,8,broiler,29.38,85.0,181.4,0.65,0.0,0
2,9,broiler,29.69,83.7,147.4,0.04,0.0,0
2,10,broiler,30.57,99.7,336.8,0.29,0.0,1
2,11,broiler,31.37,96.1,273.9,0.33,0.0,1
2,12,broiler,26.69,85.6,165.3,0.41,0.0,0
2,13,broiler,30.3,106.8,347.1,0.0,0.0,1
2,14,broiler,24.5,104.8,205.6,0.34,0.0,0
2,15,broiler,29.74,96.7,172.0,0.11,0.0,0
2,16,broiler,32.32,95.3,252.5,0.0,0.0,1
2,17,broiler,26.35,113.6,186.9,0.29,0.0,0
2,18,broiler,30.6,94.0,308.1,0.41,0.0,1
2,19,broiler,24.42,106.6,205.2,0.38,0.0,0
2,20,broiler,28.28,103.2,195.4,0.43,0.0,0
2,21,broiler,28.7,112.0,181.5,0.08,0.0,0
2,22,broiler,29.16,88.9,267.4,0.28,0.0,4
2,23,broiler,24.25,117.5,196.5,0.34,0.0,0
2,24,broiler,26.1,116.2,241.0,0.0,0.0,0
2,25,broiler,24.36,118.8,191.8,0.32,0.0,0
2,26,broiler,29.19,128.3,236.3,0.16,0.0,0
2,27,broiler,23.69,83.6,170.8,0.22,0.0,0
2,28,broiler,26.49,81.0,162.6,0.06,0.0,0
2,29,broiler,26.73,97.6,207.7,0.29,0.0,0
2,30,broiler,28.41,127.5,243.2,0.62,0.0,0
2,31,broiler,28.17,100.7,182.2,0.58,0.0,0
2,32,broiler,25.92,99.4,191.1,0.16,0.0,0
2,33,broiler,26.33,118.8,199.2,0.36,0.0,0
2,34,broiler,27.73,83.8,147.1,0.05,0.0,0
2,35,broiler,28.45,94.1,154.8,0.3,0.0,0
2,36,broiler,29.43,129.9,251.9,0.07,0.0,0
2,37,broiler,28.92,116.3,246.7,0.46,0.0,0
2,38,broiler,28.07,75.2,213.4,5.3,0.0,3
2,39,broiler,29.47,73.3,165.8,3.15,0.0,3
2,40,broiler,27.86,110.4,193.8,0.32,0.0,0
2,41,broiler,27.59,104.0,200.1,0.28,0.0,0
2,42,broiler,27.62,112.6,184.8,0.38,0.0,0
2,43,broiler,23.44,93.4,245.5,2.09,0.0,3
2,44,broiler,27.81,133.5,268.3,0.29,0.0,0
2,45,broiler,24.16,77.0,130.8,0.43,0.0,0
2,46,broiler,29.03,90.8,197.1,0.47,0.0,0
2,47,broiler,30.75,75.2,224.5,0.48,0.0,1
2,48,broiler,26.64,91.2,193.3,0.59,0.0,0
2,49,broiler,27.74,81.8,241.0,0.39,0.0,4
2,50,broiler,28.27,112.9,234.7,0.44,0.0,0
2,51,broiler,25.71,137.0,235.7,0.15,0.0,0
2,52,broiler,27.03,103.3,166.0,0.0,0.0,0
2,53,broiler,23.89,121.4,244.9,0.37,0.0,0
2,54,broiler,28.02,77.0,216.7,0.07,0.0,4
2,55,broiler,27.47,79.4,131.2,0.25,0.0,0
2,56,broiler,26.89,137.0,284.9,0.43,0.0,0
2,57,broiler,29.86,123.9,200.5,0.66,0.0,0
2,58,broiler,27.77,125.7,207.2,0.19,0.0,0
2,59,broiler,31.21,79.7,248.2,0.23,0.0,1
2,60,broiler,27.47,105.2,229.9,0.38,0.0,0
2,61,broiler,27.01,142.1,274.8,0.11,0.0,0
2,62,broiler,28.56,119.2,195.9,0.1,0.0,0
2,63,broiler,27.86,119.7,244.9,0.0,0.0,0
2,64,broiler,25.25,113.4,211.2,0.51,0.0,0
2,65,broiler,26.71,123.3,217.7,0.46,0.0,0
2,66,broiler,27.42,100.6,204.2,0.38,0.0,0
2,67,broiler,27.01,127.6,223.1,0.27,0.0,0
2,68,broiler,29.18,104.6,228.1,0.08,0.0,0
2,69,broiler,26.12,115.2,251.3,0.0,0.0,0
2,70,broiler,26.51,124.9,232.2,0.2,0.0,0
2,71,broiler,26.36,104.8,169.9,0.47,0.0,0
2,72,broiler,29.5,125.5,216.2,0.35,0.0,0
2,73,broiler,28.51,110.8,179.9,0.27,0.0,0
2,74,broiler,24.99,123.7,231.8,0.37,0.0,0
2,75,broiler,29.27,94.4,162.5,0.36,0.0,0
2,76,broiler,25.76,123.1,266.6,0.4,0.0,0
2,77,broiler,27.46,125.8,203.5,0.34,0.0,0
2,78,broiler,27.96,134.5,223.8,0.07,0.0,0
2,79,broiler,26.93,114.9,243.9,0.37,0.0,0
2,80,broiler,29.93,127.8,266.5,0.05,0.0,0
2,81,broiler,26.76,111.9,215.6,0.04,0.0,0
2,82,broiler,23.77,100.4,174.4,0.04,0.0,0
2,83,broiler,25.68,107.8,262.8,3.36,0.0,3
2,84,broiler,29.31,131.7,252.8,0.0,0.0,0
2,85,broiler,26.55,115.9,249.9,0.15,0.0,0
2,86,broiler,26.5,124.6,239.6,0.18,0.0,0
2,87,broiler,25.85,86.2,144.2,0.41,0.0,0
2,88,broiler,25.12,112.4,197.2,0.11,0.0,0
2,89,broiler,25.9,111.0,219.7,0.32,0.0,0
2,90,broiler,28.14,117.5,217.0,0.04,0.0,0
3,1,layer,25.5,111.6,206.9,0.36,68.3,0
3,2,layer,24.94,109.0,230.8,0.27,73.1,0
3,3,layer,20.82,124.0,227.5,0.82,74.1,0
3,4,layer,21.02,91.3,185.4,0.63,80.7,0
3,5,layer,21.69,109.3,198.2,0.15,75.3,0
3,6,layer,25.96,121.6,242.1,0.37,55.1,0
3,7,layer,25.28,149.2,304.1,0.29,67.9,0
3,8,layer,21.91,129.4,248.7,0.12,73.9,0
3,9,layer,22.83,98.9,167.3,0.33,87.1,0
3,10,layer,22.84,125.4,262.8,0.49,82.1,0
3,11,layer,22.49,116.4,251.7,0.4,56.6,0
3,12,layer,25.57,120.5,228.7,0.28,75.8,0
3,13,layer,25.03,129.0,230.0,0.15,73.3,0
3,14,layer,24.0,122.6,256.6,0.46,74.7,0
3,15,layer,18.84,121.0,204.2,0.26,68.9,0
3,16,layer,24.91,120.8,224.6,0.0,75.6,0
3,17,layer,24.98,100.8,200.5,0.6,72.9,0
3,18,layer,22.77,113.8,190.4,0.24,68.9,0
3,19,layer,20.83,133.7,263.9,0.49,49.5,0
3,20,layer,22.88,76.8,189.3,3.66,80.4,3
3,21,layer,22.8,125.9,241.8,0.29,65.1,0
3,22,layer,23.84,106.0,179.1,0.13,86.7,0
3,23,layer,26.84,116.9,249.5,0.08,86.4,0
3,24,layer,28.21,110.9,221.3,0.46,77.8,0
3,25,layer,24.81,109.8,209.5,0.32,72.7,0
3,26,layer,21.2,105.4,190.8,0.53,81.8,0
3,27,layer,26.27,130.8,230.1,0.56,81.1,0
3,28,layer,26.55,128.3,254.9,0.31,69.2,0
3,29,layer,24.01,124.0,241.8,0.42,82.5,0
3,30,layer,21.81,90.5,168.7,0.33,80.8,0
3,31,layer,24.51,132.2,234.3,0.35,78.0,0
3,32,layer,23.4,144.1,303.4,0.45,83.9,0
3,33,layer,24.69,110.2,230.5,0.0,75.3,0
3,34,layer,24.38,159.0,282.8,0.42,93.1,0
